Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
busqueda,Firefox 68.0,,,2020-10-28 11:44:37,2020-10-28 11:45:02,24.693s,PASSED
,,,,,,,
Test Cases/busqueda,Firefox 68.0,,,2020-10-28 11:44:37,2020-10-28 11:45:02,24.380s,PASSED
"openBrowser("""")",Firefox 68.0,,,2020-10-28 11:44:38,2020-10-28 11:44:43,4.969s,PASSED
"navigateToUrl(""https://ecqa.petco.com.mx/petco/en/login"")",Firefox 68.0,,,2020-10-28 11:44:43,2020-10-28 11:44:44,1.530s,PASSED
"setText(findTestObject(""Object Repository/busqueda/Page_Ingresar  Petco Mexico/input_Direccin de Correo Electrnico_j_username""), ""javierdumont@gmail.com"")",Firefox 68.0,,,2020-10-28 11:44:44,2020-10-28 11:44:54,10.085s,PASSED
"setEncryptedText(findTestObject(""Object Repository/busqueda/Page_Ingresar  Petco Mexico/input_Contrasea_j_password""), ""NlV8iAafsyYWagnpn4cCvQ=="")",Firefox 68.0,,,2020-10-28 11:44:54,2020-10-28 11:44:55,0.618s,PASSED
"click(findTestObject(""Object Repository/busqueda/Page_Ingresar  Petco Mexico/button_Iniciar Sesin""))",Firefox 68.0,,,2020-10-28 11:44:55,2020-10-28 11:44:56,0.577s,PASSED
"setText(findTestObject(""Object Repository/busqueda/Page_Petco Mexico  Petco Mxico/input_Royal Canin Maxi Dermacomfort 15.88 kg_text""), ""royal-canin"")",Firefox 68.0,,,2020-10-28 11:44:56,2020-10-28 11:44:57,1.491s,PASSED
"click(findTestObject(""Object Repository/busqueda/Page_Petco Mexico  Petco Mxico/span_Royal Canin Maxi Dermacomfort 15.88 kg_1c92bc""))",Firefox 68.0,,,2020-10-28 11:44:57,2020-10-28 11:44:58,0.796s,PASSED
closeBrowser(),Firefox 68.0,,,2020-10-28 11:44:58,2020-10-28 11:45:02,3.851s,PASSED
