Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
busqueda,Chrome 85.0.4183.83,,,2020-10-28 11:46:26,2020-10-28 11:46:32,6.166s,PASSED
,,,,,,,
Test Cases/busqueda,Chrome 85.0.4183.83,,,2020-10-28 11:46:26,2020-10-28 11:46:32,5.994s,PASSED
"openBrowser("""")",Chrome 85.0.4183.83,,,2020-10-28 11:46:26,2020-10-28 11:46:27,0.964s,PASSED
"navigateToUrl(""https://ecqa.petco.com.mx/petco/en/login"")",Chrome 85.0.4183.83,,,2020-10-28 11:46:27,2020-10-28 11:46:29,1.285s,PASSED
"setText(findTestObject(""Object Repository/busqueda/Page_Ingresar  Petco Mexico/input_Direccin de Correo Electrnico_j_username""), ""javierdumont@gmail.com"")",Chrome 85.0.4183.83,,,2020-10-28 11:46:29,2020-10-28 11:46:29,0.480s,PASSED
"setEncryptedText(findTestObject(""Object Repository/busqueda/Page_Ingresar  Petco Mexico/input_Contrasea_j_password""), ""NlV8iAafsyYWagnpn4cCvQ=="")",Chrome 85.0.4183.83,,,2020-10-28 11:46:29,2020-10-28 11:46:30,0.484s,PASSED
"click(findTestObject(""Object Repository/busqueda/Page_Ingresar  Petco Mexico/button_Iniciar Sesin""))",Chrome 85.0.4183.83,,,2020-10-28 11:46:30,2020-10-28 11:46:30,0.260s,PASSED
"setText(findTestObject(""Object Repository/busqueda/Page_Petco Mexico  Petco Mxico/input_Royal Canin Maxi Dermacomfort 15.88 kg_text""), ""royal-canin"")",Chrome 85.0.4183.83,,,2020-10-28 11:46:30,2020-10-28 11:46:30,0.265s,PASSED
"click(findTestObject(""Object Repository/busqueda/Page_Petco Mexico  Petco Mxico/span_Royal Canin Maxi Dermacomfort 15.88 kg_1c92bc""))",Chrome 85.0.4183.83,,,2020-10-28 11:46:30,2020-10-28 11:46:32,1.987s,PASSED
closeBrowser(),Chrome 85.0.4183.83,,,2020-10-28 11:46:32,2020-10-28 11:46:32,0.077s,PASSED
