Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
busqueda,Chrome 85.0.4183.83,,,2020-10-28 11:46:02,2020-10-28 11:46:18,15.922s,PASSED
,,,,,,,
Test Cases/busqueda,Chrome 85.0.4183.83,,,2020-10-28 11:46:02,2020-10-28 11:46:18,15.558s,PASSED
"openBrowser("""")",Chrome 85.0.4183.83,,,2020-10-28 11:46:03,2020-10-28 11:46:05,2.433s,PASSED
"navigateToUrl(""https://ecqa.petco.com.mx/petco/en/login"")",Chrome 85.0.4183.83,,,2020-10-28 11:46:05,2020-10-28 11:46:07,2.228s,PASSED
"setText(findTestObject(""Object Repository/busqueda/Page_Ingresar  Petco Mexico/input_Direccin de Correo Electrnico_j_username""), ""javierdumont@gmail.com"")",Chrome 85.0.4183.83,,,2020-10-28 11:46:07,2020-10-28 11:46:10,2.391s,PASSED
"setEncryptedText(findTestObject(""Object Repository/busqueda/Page_Ingresar  Petco Mexico/input_Contrasea_j_password""), ""NlV8iAafsyYWagnpn4cCvQ=="")",Chrome 85.0.4183.83,,,2020-10-28 11:46:10,2020-10-28 11:46:10,0.459s,PASSED
"click(findTestObject(""Object Repository/busqueda/Page_Ingresar  Petco Mexico/button_Iniciar Sesin""))",Chrome 85.0.4183.83,,,2020-10-28 11:46:10,2020-10-28 11:46:11,0.373s,PASSED
"setText(findTestObject(""Object Repository/busqueda/Page_Petco Mexico  Petco Mxico/input_Royal Canin Maxi Dermacomfort 15.88 kg_text""), ""royal-canin"")",Chrome 85.0.4183.83,,,2020-10-28 11:46:11,2020-10-28 11:46:16,5.320s,PASSED
"click(findTestObject(""Object Repository/busqueda/Page_Petco Mexico  Petco Mxico/span_Royal Canin Maxi Dermacomfort 15.88 kg_1c92bc""))",Chrome 85.0.4183.83,,,2020-10-28 11:46:16,2020-10-28 11:46:18,1.798s,PASSED
closeBrowser(),Chrome 85.0.4183.83,,,2020-10-28 11:46:18,2020-10-28 11:46:18,0.091s,PASSED
