Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
busqueda,Firefox 68.0,,,2020-10-28 11:46:02,2020-10-28 11:46:24,22.096s,FAILED
,,,,,,,
Test Cases/busqueda,Firefox 68.0,,,2020-10-28 11:46:03,2020-10-28 11:46:24,21.716s,FAILED
"openBrowser("""")",Firefox 68.0,,,2020-10-28 11:46:03,2020-10-28 11:46:08,5.017s,PASSED
"navigateToUrl(""https://ecqa.petco.com.mx/petco/en/login"")",Firefox 68.0,,,2020-10-28 11:46:08,2020-10-28 11:46:09,1.286s,PASSED
"setText(findTestObject(""Object Repository/busqueda/Page_Ingresar  Petco Mexico/input_Direccin de Correo Electrnico_j_username""), ""javierdumont@gmail.com"")",Firefox 68.0,,,2020-10-28 11:46:09,2020-10-28 11:46:22,12.268s,PASSED
"setEncryptedText(findTestObject(""Object Repository/busqueda/Page_Ingresar  Petco Mexico/input_Contrasea_j_password""), ""NlV8iAafsyYWagnpn4cCvQ=="")",Firefox 68.0,,,2020-10-28 11:46:22,2020-10-28 11:46:22,0.520s,PASSED
"click(findTestObject(""Object Repository/busqueda/Page_Ingresar  Petco Mexico/button_Iniciar Sesin""))",Firefox 68.0,,,2020-10-28 11:46:22,2020-10-28 11:46:23,0.596s,PASSED
"setText(findTestObject(""Object Repository/busqueda/Page_Petco Mexico  Petco Mxico/input_Royal Canin Maxi Dermacomfort 15.88 kg_text""), ""royal-canin"")",Firefox 68.0,,,2020-10-28 11:46:23,2020-10-28 11:46:24,1.026s,PASSED
"click(findTestObject(""Object Repository/busqueda/Page_Petco Mexico  Petco Mxico/span_Royal Canin Maxi Dermacomfort 15.88 kg_1c92bc""))",Firefox 68.0,,,2020-10-28 11:46:24,2020-10-28 11:46:24,0.579s,FAILED
