Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
busqueda,Chrome 85.0.4183.83,,,2020-10-28 10:53:55,2020-10-28 10:54:35,40.181s,FAILED
,,,,,,,
Test Cases/busqueda,Chrome 85.0.4183.83,,,2020-10-28 10:53:55,2020-10-28 10:54:35,40.003s,FAILED
"openBrowser("""")",Chrome 85.0.4183.83,,,2020-10-28 10:53:55,2020-10-28 10:53:56,0.864s,PASSED
"navigateToUrl(""https://ecqa.petco.com.mx/petco/en/login"")",Chrome 85.0.4183.83,,,2020-10-28 10:53:56,2020-10-28 10:53:57,1.379s,PASSED
"setText(findTestObject(""Object Repository/busqueda/Page_Ingresar  Petco Mexico/input_Direccin de Correo Electrnico_j_username""), ""javierdumont@gmail.com"")",Chrome 85.0.4183.83,,,2020-10-28 10:53:57,2020-10-28 10:53:58,0.421s,PASSED
"setEncryptedText(findTestObject(""Object Repository/busqueda/Page_Ingresar  Petco Mexico/input_Contrasea_j_password""), ""NlV8iAafsyYWagnpn4cCvQ=="")",Chrome 85.0.4183.83,,,2020-10-28 10:53:58,2020-10-28 10:53:58,0.593s,PASSED
"click(findTestObject(""Object Repository/busqueda/Page_Ingresar  Petco Mexico/button_Iniciar Sesin""))",Chrome 85.0.4183.83,,,2020-10-28 10:53:58,2020-10-28 10:53:59,0.288s,PASSED
"setText(findTestObject(""Object Repository/busqueda/Page_Petco Mexico  Petco Mxico/input_Royal Canin Maxi Dermacomfort 15.88 kg_text""), ""royal-canin"")",Chrome 85.0.4183.83,,,2020-10-28 10:53:59,2020-10-28 10:53:59,0.206s,PASSED
"click(findTestObject(""Object Repository/busqueda/Page_Petco Mexico  Petco Mxico/span_Royal Canin Maxi Dermacomfort 15.88 kg_1c92bc""))",Chrome 85.0.4183.83,,,2020-10-28 10:53:59,2020-10-28 10:54:02,2.661s,PASSED
"click(findTestObject(""Object Repository/busqueda/Page_Search royal-canin  Petco Mexico/img_Califica este producto_lazy-grid img-re_ad3551""))",Chrome 85.0.4183.83,,,2020-10-28 10:54:02,2020-10-28 10:54:35,33.365s,FAILED
